Number of subjects: 674
Input features: 6
Total samples: 8,443,358
Unique labels: [0 1 2]
Samples with label 0: 7,244,189
Samples with label 1: 927,315
Samples with label 2: 271,854

Subject-wise Sample Distribution:
Subject_ID | Label_0 | Label_1 | Label_2
------------------------------------
1          | 11023   | 1081    | 0      
2          | 9716    | 1472    | 339    
3          | 12539   | 993     | 667    
4          | 9286    | 1543    | 676    
5          | 17728   | 954     | 773    
6          | 16124   | 935     | 100    
7          | 20682   | 1537    | 0      
8          | 12353   | 1131    | 407    
9          | 9299    | 577     | 0      
10         | 11372   | 1780    | 1633   
11         | 5899    | 664     | 624    
12         | 17139   | 2727    | 830    
13         | 10221   | 3022    | 1074   
14         | 15757   | 516     | 0      
15         | 6753    | 853     | 0      
16         | 3799    | 1927    | 0      
17         | 4336    | 630     | 97     
18         | 6039    | 697     | 615    
19         | 5535    | 685     | 305    
20         | 15781   | 2712    | 607    
21         | 13277   | 3226    | 472    
22         | 15684   | 2362    | 154    
23         | 16253   | 1850    | 317    
24         | 6662    | 294     | 0      
25         | 13477   | 1541    | 0      
26         | 6430    | 879     | 0      
27         | 12301   | 1569    | 667    
28         | 23454   | 1995    | 355    
29         | 20624   | 1591    | 1315   
30         | 9783    | 1414    | 762    
31         | 8000    | 1126    | 875    
32         | 4365    | 1201    | 884    
33         | 22901   | 2233    | 0      
34         | 14285   | 1493    | 520    
35         | 14831   | 1068    | 541    
36         | 13673   | 1276    | 551    
37         | 9779    | 1018    | 1151   
38         | 12699   | 1443    | 521    
39         | 9715    | 1549    | 0      
40         | 12418   | 1207    | 0      
41         | 10535   | 1609    | 0      
42         | 6443    | 1363    | 0      
43         | 17183   | 1719    | 1373   
44         | 17005   | 2635    | 0      
45         | 6171    | 1038    | 0      
46         | 7490    | 715     | 0      
47         | 5695    | 684     | 324    
48         | 4930    | 615     | 0      
49         | 11316   | 1628    | 558    
50         | 10421   | 1419    | 0      
51         | 5016    | 705     | 0      
52         | 10787   | 1747    | 881    
53         | 7438    | 1436    | 195    
54         | 5008    | 1105    | 0      
55         | 8106    | 1915    | 1028   
56         | 11748   | 1948    | 1160   
57         | 8975    | 1462    | 785    
58         | 6574    | 1192    | 189    
59         | 3237    | 413     | 787    
60         | 14268   | 1714    | 413    
61         | 4455    | 251     | 281    
62         | 10128   | 2249    | 832    
63         | 11345   | 1445    | 961    
64         | 6967    | 1294    | 599    
65         | 6827    | 818     | 1366   
66         | 12374   | 2344    | 926    
67         | 6775    | 614     | 917    
68         | 7909    | 1428    | 508    
69         | 8045    | 485     | 764    
70         | 6541    | 1123    | 1239   
71         | 4608    | 626     | 390    
72         | 12128   | 3314    | 770    
73         | 3754    | 428     | 150    
74         | 6023    | 1295    | 579    
75         | 7101    | 676     | 665    
76         | 5425    | 793     | 0      
77         | 3461    | 606     | 403    
78         | 9545    | 939     | 439    
79         | 8587    | 1397    | 523    
80         | 17147   | 2123    | 1427   
81         | 8964    | 756     | 654    
82         | 8969    | 1427    | 95     
83         | 5684    | 880     | 428    
84         | 13385   | 1547    | 227    
85         | 16705   | 2408    | 469    
86         | 7660    | 1021    | 512    
87         | 10284   | 2163    | 281    
88         | 13295   | 1542    | 2089   
89         | 7276    | 701     | 124    
90         | 18839   | 1563    | 821    
91         | 19804   | 2948    | 495    
92         | 19677   | 1909    | 0      
93         | 10801   | 1887    | 464    
94         | 10425   | 1457    | 1267   
95         | 29192   | 3174    | 1777   
96         | 9156    | 1841    | 0      
97         | 8445    | 1191    | 0      
98         | 4102    | 1177    | 47     
99         | 6877    | 933     | 0      
100        | 4587    | 250     | 191    
101        | 2778    | 384     | 209    
102        | 4993    | 558     | 0      
103        | 4768    | 607     | 158    
104        | 4674    | 614     | 293    
105        | 3264    | 448     | 0      
106        | 8063    | 1169    | 0      
107        | 25465   | 2025    | 0      
108        | 23991   | 2302    | 0      
109        | 4985    | 1282    | 0      
110        | 15538   | 1981    | 408    
111        | 6863    | 686     | 268    
112        | 9161    | 1695    | 498    
113        | 7880    | 1434    | 0      
114        | 21643   | 526     | 407    
115        | 11623   | 1984    | 1315   
116        | 21974   | 3250    | 2581   
117        | 11072   | 983     | 248    
118        | 7858    | 1341    | 0      
119        | 12436   | 1743    | 632    
120        | 2996    | 714     | 204    
121        | 10288   | 585     | 539    
122        | 10433   | 954     | 767    
123        | 4828    | 731     | 0      
124        | 16443   | 2590    | 1166   
125        | 2523    | 547     | 0      
126        | 10127   | 1439    | 398    
127        | 8497    | 1230    | 711    
128        | 11506   | 1318    | 0      
129        | 8391    | 1405    | 420    
130        | 11075   | 861     | 0      
131        | 12677   | 738     | 0      
132        | 14242   | 992     | 231    
133        | 17015   | 1284    | 583    
134        | 18887   | 1180    | 199    
135        | 15877   | 383     | 497    
136        | 27945   | 1592    | 1009   
137        | 21574   | 4101    | 694    
138        | 15744   | 1857    | 0      
139        | 14159   | 1805    | 389    
140        | 14782   | 1439    | 903    
141        | 8737    | 981     | 293    
142        | 26438   | 2178    | 800    
143        | 2637    | 327     | 269    
144        | 12856   | 1828    | 192    
145        | 4541    | 591     | 165    
146        | 7313    | 1365    | 510    
147        | 9276    | 780     | 2021   
148        | 2713    | 453     | 816    
149        | 13183   | 1015    | 258    
150        | 16086   | 736     | 0      
151        | 10141   | 1030    | 543    
152        | 4814    | 726     | 0      
153        | 10310   | 2562    | 0      
154        | 5996    | 404     | 0      
155        | 3683    | 2037    | 0      
156        | 11386   | 2164    | 761    
157        | 4095    | 474     | 519    
158        | 14364   | 1264    | 974    
159        | 8953    | 1929    | 357    
160        | 5324    | 830     | 103    
161        | 6793    | 697     | 851    
162        | 10682   | 1924    | 445    
163        | 9029    | 1457    | 0      
164        | 6899    | 533     | 185    
165        | 14570   | 1670    | 162    
166        | 6857    | 1743    | 682    
167        | 3628    | 500     | 563    
168        | 9423    | 1397    | 446    
169        | 8479    | 1649    | 595    
170        | 5308    | 1631    | 232    
171        | 14316   | 1609    | 0      
172        | 8669    | 840     | 0      
173        | 2803    | 641     | 0      
174        | 7290    | 1297    | 612    
175        | 15309   | 1824    | 0      
176        | 4743    | 1162    | 295    
177        | 10922   | 697     | 418    
178        | 3163    | 778     | 235    
179        | 10451   | 1207    | 0      
180        | 10293   | 782     | 0      
181        | 9159    | 1436    | 0      
182        | 10609   | 1797    | 0      
183        | 4846    | 956     | 0      
184        | 12245   | 1850    | 406    
185        | 7984    | 1683    | 0      
186        | 4077    | 1080    | 264    
187        | 6646    | 1260    | 114    
188        | 5898    | 966     | 0      
189        | 3870    | 486     | 0      
190        | 10028   | 1598    | 0      
191        | 7664    | 873     | 0      
192        | 20685   | 1929    | 306    
193        | 7195    | 258     | 45     
194        | 18128   | 1715    | 538    
195        | 13251   | 779     | 792    
196        | 11089   | 1887    | 339    
197        | 4493    | 956     | 367    
198        | 11879   | 2031    | 145    
199        | 18285   | 1581    | 733    
200        | 21911   | 1064    | 405    
201        | 11696   | 1415    | 152    
202        | 8101    | 778     | 431    
203        | 27652   | 1327    | 466    
204        | 15105   | 2539    | 544    
205        | 13260   | 1456    | 795    
206        | 15169   | 1167    | 0      
207        | 18597   | 985     | 0      
208        | 16972   | 1391    | 296    
209        | 14352   | 1283    | 1005   
210        | 12050   | 1225    | 0      
211        | 5283    | 402     | 0      
212        | 15684   | 1197    | 1240   
213        | 18272   | 446     | 410    
214        | 17132   | 2605    | 796    
215        | 20106   | 1878    | 887    
216        | 10544   | 334     | 0      
217        | 17627   | 1481    | 0      
218        | 9181    | 1513    | 262    
219        | 9443    | 1398    | 0      
220        | 14023   | 1779    | 376    
221        | 13069   | 724     | 0      
222        | 6056    | 1246    | 741    
223        | 7240    | 1144    | 0      
224        | 11777   | 1006    | 0      
225        | 7754    | 387     | 0      
226        | 13449   | 1377    | 224    
227        | 8056    | 1210    | 0      
228        | 4865    | 666     | 189    
229        | 4464    | 703     | 347    
230        | 2881    | 539     | 0      
231        | 6232    | 1783    | 407    
232        | 6116    | 1567    | 63     
233        | 8874    | 2100    | 0      
234        | 3561    | 622     | 0      
235        | 9891    | 1365    | 369    
236        | 8004    | 599     | 1364   
237        | 12769   | 1959    | 179    
238        | 2002    | 218     | 93     
239        | 8563    | 1286    | 561    
240        | 14704   | 1672    | 531    
241        | 2114    | 237     | 441    
242        | 11591   | 1383    | 0      
243        | 12240   | 1295    | 0      
244        | 4825    | 308     | 0      
245        | 10491   | 1835    | 222    
246        | 2698    | 603     | 0      
247        | 15431   | 2448    | 55     
248        | 11819   | 1866    | 460    
249        | 15115   | 2036    | 244    
250        | 6110    | 1175    | 442    
251        | 11212   | 3681    | 645    
252        | 1907    | 246     | 167    
253        | 13333   | 1658    | 93     
254        | 10707   | 1948    | 1519   
255        | 7154    | 821     | 756    
256        | 18232   | 1990    | 256    
257        | 14660   | 1718    | 0      
258        | 7015    | 1262    | 0      
259        | 10799   | 1823    | 0      
260        | 6313    | 880     | 0      
261        | 15227   | 1914    | 199    
262        | 7749    | 492     | 714    
263        | 9758    | 939     | 391    
264        | 4268    | 381     | 384    
265        | 10176   | 699     | 0      
266        | 5153    | 1372    | 0      
267        | 3981    | 548     | 407    
268        | 18080   | 1555    | 0      
269        | 8030    | 1071    | 0      
270        | 15491   | 2175    | 0      
271        | 9083    | 750     | 237    
272        | 5206    | 825     | 333    
273        | 16379   | 1724    | 475    
274        | 7936    | 1655    | 597    
275        | 9007    | 1469    | 498    
276        | 14164   | 834     | 0      
277        | 9681    | 530     | 490    
278        | 14821   | 1318    | 359    
279        | 25704   | 3035    | 0      
280        | 7048    | 807     | 414    
281        | 5472    | 970     | 701    
282        | 5189    | 1618    | 697    
283        | 8412    | 1442    | 256    
284        | 11391   | 2832    | 0      
285        | 10448   | 1803    | 0      
286        | 8144    | 1204    | 0      
287        | 9507    | 1232    | 0      
288        | 11614   | 816     | 0      
289        | 9576    | 1215    | 206    
290        | 7994    | 343     | 0      
291        | 11162   | 863     | 334    
292        | 11002   | 1734    | 221    
293        | 9994    | 923     | 969    
294        | 12150   | 1665    | 0      
295        | 8574    | 1005    | 0      
296        | 5918    | 521     | 0      
297        | 12391   | 2048    | 483    
298        | 14595   | 481     | 0      
299        | 16801   | 1116    | 591    
300        | 18744   | 1747    | 808    
301        | 16254   | 1831    | 0      
302        | 24472   | 3496    | 0      
303        | 8307    | 1002    | 227    
304        | 15649   | 1630    | 754    
305        | 3537    | 456     | 243    
306        | 11165   | 2322    | 1009   
307        | 7656    | 2034    | 448    
308        | 20794   | 1491    | 1137   
309        | 8100    | 1329    | 788    
310        | 7608    | 1331    | 645    
311        | 13620   | 1798    | 0      
312        | 5275    | 270     | 344    
313        | 7910    | 1243    | 179    
314        | 13331   | 1595    | 673    
315        | 13443   | 2120    | 428    
316        | 10476   | 758     | 0      
317        | 12253   | 1001    | 414    
318        | 6924    | 699     | 0      
319        | 7377    | 675     | 154    
320        | 6573    | 742     | 516    
321        | 23573   | 1604    | 334    
322        | 23662   | 2620    | 1174   
323        | 17325   | 1283    | 1055   
324        | 11878   | 1270    | 0      
325        | 14053   | 2471    | 1736   
326        | 5145    | 811     | 588    
327        | 8370    | 1499    | 204    
328        | 24748   | 3187    | 308    
329        | 7133    | 1143    | 379    
330        | 8135    | 1384    | 309    
331        | 7223    | 1419    | 0      
332        | 5557    | 1046    | 0      
333        | 10135   | 1612    | 141    
334        | 6675    | 516     | 230    
335        | 15010   | 1541    | 417    
336        | 20661   | 1219    | 821    
337        | 6116    | 1269    | 798    
338        | 16747   | 975     | 1250   
339        | 12009   | 2887    | 190    
340        | 2644    | 687     | 82     
341        | 6141    | 1222    | 324    
342        | 11817   | 1656    | 1150   
343        | 22772   | 2160    | 1883   
344        | 6126    | 1248    | 437    
345        | 7847    | 1036    | 311    
346        | 6672    | 1034    | 666    
347        | 7369    | 1227    | 962    
348        | 6949    | 627     | 1096   
349        | 5743    | 746     | 453    
350        | 6059    | 1528    | 531    
351        | 11932   | 938     | 0      
352        | 9082    | 332     | 1050   
353        | 10560   | 1475    | 691    
354        | 9061    | 2492    | 0      
355        | 13986   | 2977    | 433    
356        | 20510   | 3411    | 1188   
357        | 10192   | 1133    | 187    
358        | 9132    | 1378    | 668    
359        | 7330    | 574     | 0      
360        | 5414    | 512     | 0      
