Number of subjects: 34
Sequence length (first subject): 3968732

Overall Sample Counts:
Samples with label 0: 114,572,425
Samples with label 1: 1,009,585
Samples with label 2: 401,954

Overall Segment Counts:
Segments with label 0: 5,702
Segments with label 1: 4,568
Segments with label 2: 1,100

Subject-wise Sample Distribution:
Subject_ID | Label_0 | Label_1 | Label_2
----------------------------------------
1          | 3939507 | 21441   | 7784   
2          | 4046755 | 33022   | 14043  
3          | 3941313 | 24021   | 7224   
4          | 3724373 | 35367   | 9236   
5          | 3598122 | 48737   | 18069  
6          | 3222738 | 19291   | 16853  
7          | 3512051 | 17367   | 35294  
8          | 3462184 | 18693   | 2997   
9          | 3134434 | 31913   | 4915   
10         | 3386914 | 19305   | 4029   
11         | 3868946 | 16369   | 6359   
12         | 3679454 | 12336   | 9238   
13         | 3876343 | 24465   | 12712  
14         | 3125690 | 19596   | 16110  
15         | 4004408 | 12873   | 10529  
16         | 3759923 | 13790   | 9093   
17         | 7327352 | 11007   | 1199   
18         | 4797702 | 14383   | 1211   
19         | 3329212 | 12052   | 2682   
20         | 2656513 | 25866   | 7359   
21         | 2714011 | 45074   | 8977   
22         | 2409069 | 57140   | 11079  
23         | 5014279 | 49995   | 28286  
24         | 2402049 | 55948   | 13713  
25         | 2301013 | 39484   | 15443  
26         | 2586297 | 32489   | 4890   
27         | 2578008 | 35164   | 7318   
28         | 2255377 | 32114   | 13517  
29         | 2256496 | 33534   | 12460  
30         | 2640002 | 53644   | 24742  
31         | 2412229 | 64823   | 19276  
32         | 2565586 | 18635   | 13191  
33         | 2794039 | 27456   | 11953  
34         | 3250036 | 32191   | 20173  

Subject-wise Segment Distribution:
Subject_ID | Label_0 | Label_1 | Label_2
----------------------------------------
1          | 91      | 78      | 12     
2          | 187     | 130     | 56     
3          | 77      | 68      | 8      
4          | 134     | 109     | 24     
5          | 207     | 169     | 37     
6          | 123     | 71      | 51     
7          | 295     | 163     | 131    
8          | 78      | 68      | 9      
9          | 150     | 137     | 12     
10         | 93      | 81      | 11     
11         | 93      | 73      | 19     
12         | 113     | 85      | 27     
13         | 170     | 129     | 40     
14         | 135     | 91      | 43     
15         | 96      | 70      | 25     
16         | 115     | 89      | 25     
17         | 59      | 55      | 3      
18         | 79      | 75      | 3      
19         | 63      | 55      | 7      
20         | 145     | 122     | 22     
21         | 218     | 191     | 26     
22         | 367     | 330     | 36     
23         | 245     | 180     | 64     
24         | 244     | 211     | 32     
25         | 216     | 176     | 39     
26         | 175     | 164     | 10     
27         | 153     | 135     | 17     
28         | 176     | 134     | 41     
29         | 215     | 166     | 48     
30         | 352     | 293     | 58     
31         | 353     | 305     | 47     
32         | 114     | 81      | 32     
33         | 179     | 147     | 31     
34         | 192     | 137     | 54     
