Number of subjects: 46
Input features: 6
Total samples: 5,764,486
Unique labels: [0 1 2]
Samples with label 0: 4,900,708
Samples with label 1: 615,503
Samples with label 2: 248,275

Subject-wise Sample Distribution:
Subject_ID | Label_0 | Label_1 | Label_2
------------------------------------
1          | 59642   | 28130   | 3676   
2          | 81148   | 7669    | 5713   
3          | 186639  | 27448   | 6081   
4          | 129283  | 9220    | 4535   
5          | 106594  | 23728   | 2654   
6          | 215608  | 15546   | 7486   
7          | 111727  | 14066   | 4481   
8          | 122125  | 20775   | 6888   
9          | 134565  | 12509   | 4918   
10         | 185969  | 25570   | 5959   
11         | 101134  | 5110    | 4080   
12         | 159871  | 10466   | 2759   
13         | 148007  | 6704    | 6095   
14         | 94723   | 10662   | 5649   
15         | 149228  | 29158   | 8818   
16         | 115724  | 14865   | 5537   
17         | 71779   | 15199   | 7868   
18         | 116749  | 19626   | 7897   
19         | 108641  | 12945   | 15026  
20         | 73538   | 20290   | 5442   
21         | 91462   | 6893    | 7297   
22         | 87321   | 2948    | 3999   
23         | 162024  | 13416   | 6508   
24         | 129579  | 15388   | 6797   
25         | 63222   | 9783    | 5013   
26         | 127570  | 5019    | 3327   
27         | 83158   | 12357   | 4023   
28         | 107314  | 14245   | 4909   
29         | 134312  | 18947   | 4235   
30         | 111133  | 9834    | 3557   
31         | 79560   | 18023   | 3411   
32         | 100445  | 9378    | 4279   
33         | 89374   | 9697    | 5005   
34         | 79238   | 9530    | 6664   
35         | 93513   | 14276   | 7785   
36         | 54369   | 14840   | 3457   
37         | 95118   | 4993    | 3355   
38         | 109624  | 6742    | 3794   
39         | 48834   | 7459    | 5423   
40         | 76867   | 10768   | 3695   
41         | 81412   | 18555   | 4339   
42         | 104889  | 5707    | 4284   
43         | 46878   | 7412    | 4166   
44         | 85225   | 6147    | 5458   
45         | 87287   | 19687   | 3426   
46         | 98286   | 13773   | 8507   
