Version,Mirror,Dataset,Model,Class,F1 (Mean),F1 (Std),F1 (Min),F1 (Max)
202503281533,No,FDI,MSTCN,1,0.5518,0.2129,0.0525,0.7142
202503281533,No,FDI,MSTCN,2,0.8005,0.0447,0.7368,0.8649
202503281533,Yes,FDI,MSTCN,1,0.5693,0.2126,0.0606,0.7336
202503281533,Yes,FDI,MSTCN,2,0.8129,0.0445,0.7350,0.8639
202504100057,No,FDI,MSTCN,1,0.0023,0.0033,0.0000,0.0096
202504100057,No,FDI,MSTCN,2,0.0426,0.0256,0.0151,0.0966
202504100057,Yes,FDI,MSTCN,1,0.6056,0.2199,0.0782,0.7302
202504100057,Yes,FDI,MSTCN,2,0.8295,0.0278,0.7983,0.8709
202504100238,No,FDI,MSTCN,1,0.5717,0.2136,0.0685,0.7397
202504100238,No,FDI,MSTCN,2,0.8103,0.0601,0.6903,0.8846
202504100238,Yes,FDI,MSTCN,1,0.5834,0.2155,0.0712,0.7491
202504100238,Yes,FDI,MSTCN,2,0.8102,0.0571,0.6998,0.8799
202504100555,No,FDI,MSTCN,1,0.6000,0.2189,0.0751,0.7446
202504100555,No,FDI,MSTCN,2,0.8290,0.0400,0.7703,0.8775
202504100555,Yes,FDI,MSTCN,1,0.6023,0.2194,0.0760,0.7484
202504100555,Yes,FDI,MSTCN,2,0.8283,0.0338,0.7752,0.8752
202504100920,No,FDI,MSTCN,1,0.6013,0.2265,0.0568,0.7464
202504100920,No,FDI,MSTCN,2,0.8251,0.0347,0.7820,0.8815
202504100920,Yes,FDI,MSTCN,1,0.6050,0.2294,0.0555,0.7468
202504100920,Yes,FDI,MSTCN,2,0.8241,0.0372,0.7664,0.8777
