Version,Mirror,Dataset,Model,Class,F1 (Mean),F1 (Std),F1 (Min),F1 (Max)
202503281533,No,FDI,MSTCN,1,0.5909,0.2519,0.0000,0.7868
202503281533,No,FDI,MSTCN,2,0.8197,0.0489,0.7487,0.8860
202503281533,Yes,FDI,MSTCN,1,0.6368,0.2319,0.0833,0.8280
202503281533,Yes,FDI,MSTCN,2,0.8348,0.0605,0.7449,0.9070
202504100057,No,FDI,MSTCN,1,0.0012,0.0030,0.0000,0.0086
202504100057,No,FDI,MSTCN,2,0.0000,0.0000,0.0000,0.0000
202504100057,Yes,FDI,MSTCN,1,0.6751,0.2246,0.1333,0.8048
202504100057,Yes,FDI,MSTCN,2,0.8578,0.0496,0.8081,0.9268
202504100238,No,FDI,MSTCN,1,0.6517,0.2273,0.1176,0.8343
202504100238,No,FDI,MSTCN,2,0.8419,0.0553,0.7719,0.9177
202504100238,Yes,FDI,MSTCN,1,0.6664,0.2316,0.1176,0.8490
202504100238,Yes,FDI,MSTCN,2,0.8335,0.0668,0.7304,0.9264
202504100555,No,FDI,MSTCN,1,0.6655,0.2296,0.1176,0.8256
202504100555,No,FDI,MSTCN,2,0.8407,0.0641,0.7424,0.9402
202504100555,Yes,FDI,MSTCN,1,0.6701,0.2314,0.1176,0.8353
202504100555,Yes,FDI,MSTCN,2,0.8494,0.0465,0.7810,0.9451
202504100920,No,FDI,MSTCN,1,0.6684,0.2353,0.1000,0.8092
202504100920,No,FDI,MSTCN,2,0.8465,0.0575,0.7717,0.9573
202504100920,Yes,FDI,MSTCN,1,0.6668,0.2436,0.0800,0.8150
202504100920,Yes,FDI,MSTCN,2,0.8497,0.0451,0.7960,0.9412
