Version,Mirror,Dataset,Model,Sample F1 (Mean),Sample F1 (Std),Segment F1 T=0.1 (Mean),Segment F1 T=0.1 (Std),Segment F1 T=0.25 (Mean),Segment F1 T=0.25 (Std),Segment F1 T=0.5 (Mean),Segment F1 T=0.5 (Std),Segment F1 T=0.75 (Mean),Segment F1 T=0.75 (Std)
202503281533,No,FDI,MSTCN,0.6864,0.0651,0.7997,0.0522,0.7929,0.0583,0.7262,0.0602,0.4787,0.0938
202503281533,Yes,FDI,MSTCN,0.7055,0.0478,0.8165,0.0416,0.8106,0.0436,0.7565,0.0401,0.5112,0.0844
202504100057,No,FDI,MSTCN,0.0171,0.0134,0.0391,0.0290,0.0234,0.0243,0.0008,0.0019,0.0000,0.0000
202504100057,Yes,FDI,MSTCN,0.7326,0.0496,0.8483,0.0367,0.8387,0.0428,0.7869,0.0332,0.5307,0.0864
202504100238,No,FDI,MSTCN,0.7062,0.0636,0.8292,0.0486,0.8214,0.0498,0.7696,0.0511,0.5286,0.0921
202504100238,Yes,FDI,MSTCN,0.7138,0.0575,0.8308,0.0484,0.8253,0.0512,0.7778,0.0495,0.5362,0.0831
202504100555,No,FDI,MSTCN,0.7323,0.0492,0.8399,0.0437,0.8321,0.0472,0.7821,0.0487,0.5357,0.0981
202504100555,Yes,FDI,MSTCN,0.7333,0.0477,0.8414,0.0434,0.8345,0.0454,0.7893,0.0445,0.5469,0.0899
202504100920,No,FDI,MSTCN,0.7294,0.0467,0.8393,0.0399,0.8331,0.0410,0.7793,0.0373,0.5455,0.0948
202504100920,Yes,FDI,MSTCN,0.7320,0.0501,0.8395,0.0440,0.8321,0.0470,0.7818,0.0388,0.5345,0.0925
