Date,Time,Fold,Epoch,Training Loss
2024-12-18,18:17:53,1,1,0.08567848418009108
2024-12-18,18:18:04,1,2,0.06629614551207481
2024-12-18,18:18:14,1,3,0.06351908863613384
2024-12-18,18:18:25,1,4,0.060362930180994416
2024-12-18,18:18:36,1,5,0.057617347140141884
2024-12-18,18:18:47,1,6,0.05651086189341702
2024-12-18,18:18:57,1,7,0.0555302620388407
2024-12-18,18:19:09,1,8,0.05525645747962181
2024-12-18,18:19:19,1,9,0.05338526106051189
2024-12-18,18:19:30,1,10,0.05279234011663931
2024-12-18,18:19:42,1,11,0.052341970075014864
2024-12-18,18:19:52,1,12,0.05067550523651906
2024-12-18,18:20:02,1,13,0.051523767617942716
2024-12-18,18:20:12,1,14,0.049977284303858185
2024-12-18,18:20:23,1,15,0.049159845465168675
2024-12-18,18:20:34,1,16,0.04957590806449109
2024-12-18,18:20:45,1,17,0.05054664684528748
2024-12-18,18:20:56,1,18,0.049502674203898554
2024-12-18,18:21:06,1,19,0.04904635709020938
2024-12-18,18:21:16,1,20,0.047436203674608594
2024-12-18,18:21:29,2,1,0.10078876891531369
2024-12-18,18:21:40,2,2,0.0709974924317856
2024-12-18,18:21:51,2,3,0.06513589115709525
2024-12-18,18:22:02,2,4,0.06237878693015815
2024-12-18,18:22:13,2,5,0.06063821702650919
2024-12-18,18:22:24,2,6,0.05968371953308132
2024-12-18,18:22:36,2,7,0.05836185245898421
2024-12-18,18:22:47,2,8,0.05822118969958978
2024-12-18,18:22:58,2,9,0.0569353727325532
2024-12-18,18:23:10,2,10,0.057462176338693265
2024-12-18,18:23:21,2,11,0.05597778186969866
2024-12-18,18:23:32,2,12,0.05517948242078379
2024-12-18,18:23:43,2,13,0.054807374657663124
2024-12-18,18:23:54,2,14,0.054566131254010705
2024-12-18,18:24:05,2,15,0.05504783154282971
2024-12-18,18:24:16,2,16,0.05438269772992192
2024-12-18,18:24:27,2,17,0.05404288327837339
2024-12-18,18:24:39,2,18,0.0534085765423547
2024-12-18,18:24:50,2,19,0.05256320681883639
2024-12-18,18:25:01,2,20,0.05372729297221361
2024-12-18,18:25:14,3,1,0.08818460409014328
2024-12-18,18:25:27,3,2,0.0644478190257129
2024-12-18,18:25:39,3,3,0.0590431715719898
2024-12-18,18:25:52,3,4,0.05573555940567595
