Date,Time,Fold,Epoch,Training Loss
2024-12-19,17:57:46,1,1,0.28304175110522206
2024-12-19,17:57:55,1,2,0.15305245607700688
2024-12-19,17:58:06,1,3,0.13528106734854228
2024-12-19,17:58:15,1,4,0.1287952872707082
2024-12-19,17:58:23,1,5,0.1201250552857869
2024-12-19,17:58:32,1,6,0.11353891319856885
2024-12-19,17:58:44,1,7,0.1131613858116235
2024-12-19,17:58:52,1,8,0.11107982238277923
2024-12-19,17:59:01,1,9,0.10770160283139918
2024-12-19,17:59:11,1,10,0.10529515949995275
2024-12-19,17:59:19,1,11,0.10126739572187171
2024-12-19,17:59:28,1,12,0.09858369521829259
2024-12-19,17:59:36,1,13,0.09877257957384827
2024-12-19,17:59:46,1,14,0.09513416137027737
2024-12-19,17:59:54,1,15,0.09256401051361388
2024-12-19,18:00:02,1,16,0.09055446254638269
2024-12-19,18:00:10,1,17,0.0926587532382556
2024-12-19,18:00:20,1,18,0.08831691574688987
2024-12-19,18:00:28,1,19,0.08719119362209862
2024-12-19,18:00:36,1,20,0.08657606529797451
2024-12-19,18:00:50,2,1,0.2836224663547491
2024-12-19,18:01:01,2,2,0.1509054298529209
2024-12-19,18:01:09,2,3,0.1329567867794106
2024-12-19,18:01:18,2,4,0.1276301568935262
2024-12-19,18:01:28,2,5,0.11960079355004066
2024-12-19,18:01:37,2,6,0.11121623366098952
2024-12-19,18:01:45,2,7,0.11247074854707131
2024-12-19,18:01:53,2,8,0.1065847589242165
2024-12-19,18:02:04,2,9,0.1034854368797215
2024-12-19,18:02:12,2,10,0.1023742637816874
2024-12-19,18:02:20,2,11,0.10150525924525404
2024-12-19,18:02:28,2,12,0.09644911384203361
2024-12-19,18:02:39,2,13,0.09657709127621258
2024-12-19,18:02:48,2,14,0.09420011514601158
2024-12-19,18:02:56,2,15,0.09453679489641321
2024-12-19,18:03:05,2,16,0.08940998346280762
2024-12-19,18:03:17,2,17,0.08758754967209195
2024-12-19,18:03:27,2,18,0.0912707618096333
2024-12-19,18:03:37,2,19,0.08708954188245772
2024-12-19,18:03:48,2,20,0.08585721512865341
2024-12-19,18:04:04,3,1,0.24899915949302445
2024-12-19,18:04:14,3,2,0.13345090898252007
2024-12-19,18:04:27,3,3,0.12215430891815529
2024-12-19,18:04:37,3,4,0.11043547896446237
2024-12-19,18:04:48,3,5,0.10884247325304755
2024-12-19,18:05:00,3,6,0.10434227846022676
2024-12-19,18:05:11,3,7,0.10119454342487771
2024-12-19,18:05:20,3,8,0.09676848407874782
2024-12-19,18:05:31,3,9,0.09414213132833468
2024-12-19,18:05:41,3,10,0.09602327044617093
2024-12-19,18:05:50,3,11,0.09120460833441846
2024-12-19,18:06:00,3,12,0.0901149531904404
2024-12-19,18:06:12,3,13,0.08742568816111355
2024-12-19,18:06:21,3,14,0.08495991088541986
2024-12-19,18:06:30,3,15,0.08511371755068191
2024-12-19,18:06:42,3,16,0.0829121651033902
2024-12-19,18:06:51,3,17,0.0835301695435551
2024-12-19,18:07:00,3,18,0.0814184746679987
2024-12-19,18:07:12,3,19,0.07894944190422812
