Date,Time,Fold,Epoch,Training Loss
2024-12-18,11:51:13,1,1,0.06856272146415228
2024-12-18,11:51:59,1,2,0.03958294576717477
2024-12-18,11:52:50,1,3,0.036377399210724824
2024-12-18,11:53:40,1,4,0.032597987569250544
2024-12-18,11:54:28,1,5,0.031707394607323344
2024-12-18,11:55:16,1,6,0.03011927882652945
2024-12-18,11:56:04,1,7,0.02969054755376525
2024-12-18,11:56:54,1,8,0.02896610867141053
2024-12-18,11:57:41,1,9,0.028423251938641796
2024-12-18,11:58:27,1,10,0.027857639849196786
2024-12-18,11:59:17,1,11,0.027217205295947084
2024-12-18,12:00:07,1,12,0.02708494341595669
2024-12-18,12:00:56,1,13,0.026505722722772525
2024-12-18,12:01:49,1,14,0.02633413794136934
2024-12-18,12:02:40,1,15,0.025157533104156724
2024-12-18,12:03:27,1,16,0.02556169907596995
2024-12-18,12:04:17,1,17,0.025173265237635415
2024-12-18,12:05:07,1,18,0.0246629285387918
2024-12-18,12:05:56,1,19,0.02459527041154082
2024-12-18,12:06:44,1,20,0.024311332088753287
2024-12-18,12:08:02,2,1,0.06503205771236928
2024-12-18,12:08:50,2,2,0.040423404969431545
2024-12-18,12:09:35,2,3,0.03487399637599237
2024-12-18,12:10:21,2,4,0.03294427394891973
2024-12-18,12:11:10,2,5,0.03235261825668415
2024-12-18,12:12:01,2,6,0.030710998658838754
2024-12-18,12:12:50,2,7,0.029714549812694183
2024-12-18,12:13:37,2,8,0.02918361801333951
2024-12-18,12:14:21,2,9,0.028719926691175394
2024-12-18,12:15:08,2,10,0.027604915023528333
2024-12-18,12:15:55,2,11,0.02730394683121491
2024-12-18,12:16:47,2,12,0.026766385093584817
2024-12-18,12:17:36,2,13,0.026746377126308514
2024-12-18,12:18:25,2,14,0.02696114223050065
2024-12-18,12:19:14,2,15,0.025904965613497206
2024-12-18,12:19:59,2,16,0.025319802248207665
2024-12-18,12:20:45,2,17,0.025199996497545316
2024-12-18,12:21:30,2,18,0.025153077051071726
2024-12-18,12:22:18,2,19,0.025222917287696937
2024-12-18,12:23:08,2,20,0.02454006804533088
2024-12-18,12:24:37,3,1,0.05868265521741584
2024-12-18,12:25:35,3,2,0.0347457608290662
2024-12-18,12:26:31,3,3,0.030144673992813995
2024-12-18,12:27:24,3,4,0.028909478656932157
2024-12-18,12:28:19,3,5,0.026885000276558015
2024-12-18,12:29:18,3,6,0.02687983131939468
2024-12-18,12:30:16,3,7,0.025763634498341247
2024-12-18,12:31:15,3,8,0.024781763835624634
2024-12-18,12:32:10,3,9,0.024028075068896343
2024-12-18,12:33:01,3,10,0.023502164801096743
2024-12-18,12:33:52,3,11,0.023541972457230307
2024-12-18,12:34:49,3,12,0.0232142996172183
2024-12-18,12:35:46,3,13,0.022710006009230364
2024-12-18,12:36:40,3,14,0.022578010853612794
2024-12-18,12:37:32,3,15,0.022161788796509433
2024-12-18,12:38:25,3,16,0.021911420860217645
2024-12-18,12:39:16,3,17,0.021416766520737405
2024-12-18,12:40:07,3,18,0.021517310020645705
2024-12-18,12:41:07,3,19,0.021273983640695777
2024-12-18,12:42:03,3,20,0.021034946753662777
2024-12-18,12:42:58,4,1,0.062194546195056225
2024-12-18,12:43:44,4,2,0.03901279767704722
2024-12-18,12:44:30,4,3,0.03520654574882779
2024-12-18,12:45:16,4,4,0.033092449380395315
2024-12-18,12:46:01,4,5,0.031302953461368264
2024-12-18,12:46:50,4,6,0.030421502340292016
2024-12-18,12:47:42,4,7,0.0293603815445397
2024-12-18,12:48:33,4,8,0.028387419981661482
2024-12-18,12:49:22,4,9,0.028154728658275965
2024-12-18,12:50:10,4,10,0.027439563028176874
2024-12-18,12:50:56,4,11,0.02736299341651264
2024-12-18,12:51:41,4,12,0.026891502415834705
2024-12-18,12:52:31,4,13,0.026405767129654038
2024-12-18,12:53:22,4,14,0.026241070299984147
2024-12-18,12:54:13,4,15,0.026467881766896725
2024-12-18,12:55:03,4,16,0.02573797836513562
2024-12-18,12:55:50,4,17,0.025301537881668636
2024-12-18,12:56:37,4,18,0.02534129610034103
2024-12-18,12:57:24,4,19,0.024690907393351627
2024-12-18,12:58:11,4,20,0.024534115454280706
2024-12-18,12:59:31,5,1,0.06828824412465978
2024-12-18,13:00:24,5,2,0.03642125621293168
2024-12-18,13:01:17,5,3,0.03215410827206283
2024-12-18,13:02:06,5,4,0.029746726133955265
2024-12-18,13:02:55,5,5,0.028061036894351844
2024-12-18,13:03:42,5,6,0.02711058358912402
2024-12-18,13:04:32,5,7,0.025835356770256425
2024-12-18,13:05:27,5,8,0.025686406324927167
2024-12-18,13:06:20,5,9,0.024757766269244107
2024-12-18,13:07:13,5,10,0.02439768153728315
2024-12-18,13:08:10,5,11,0.023795033460405502
2024-12-18,13:09:00,5,12,0.023458042064199974
2024-12-18,13:09:47,5,13,0.02318473129139057
2024-12-18,13:10:38,5,14,0.022822813258215804
2024-12-18,13:11:32,5,15,0.022695716004897178
2024-12-18,13:12:25,5,16,0.022465221313855976
