Date,Time,Fold,Epoch,Training Loss
2024-12-18,14:19:39,1,1,0.07507717638002519
2024-12-18,14:20:28,1,2,0.045424437212703325
2024-12-18,14:21:15,1,3,0.04001964795772052
2024-12-18,14:22:02,1,4,0.03788012584611293
2024-12-18,14:22:53,1,5,0.03625092608481465
2024-12-18,14:23:43,1,6,0.034002543259330734
2024-12-18,14:24:32,1,7,0.03362702995518043
2024-12-18,14:25:22,1,8,0.03243664893054697
2024-12-18,14:26:10,1,9,0.0314174300553686
2024-12-18,14:26:58,1,10,0.031016192047827608
2024-12-18,14:27:42,1,11,0.030018742446570355
2024-12-18,14:28:31,1,12,0.029798394455846644
2024-12-18,14:29:21,1,13,0.02965778621030407
2024-12-18,14:30:12,1,14,0.029062091466423422
2024-12-18,14:31:00,1,15,0.028548549316587884
2024-12-18,14:31:47,1,16,0.028759492753703115
2024-12-18,14:32:36,1,17,0.027340251330605664
2024-12-18,14:33:20,1,18,0.027624203668691113
2024-12-18,14:34:05,1,19,0.02779227433261547
2024-12-18,14:34:57,1,20,0.027009842232299557
2024-12-18,14:36:18,2,1,0.07551168427274046
2024-12-18,14:37:08,2,2,0.047685268438347694
2024-12-18,14:37:58,2,3,0.04102957620539841
2024-12-18,14:38:48,2,4,0.03881961447534905
2024-12-18,14:39:34,2,5,0.03713396695587441
2024-12-18,14:40:23,2,6,0.03546700461991969
2024-12-18,14:41:12,2,7,0.03482653499412426
2024-12-18,14:42:02,2,8,0.03374831977044591
2024-12-18,14:42:51,2,9,0.03287631545965363
2024-12-18,14:43:40,2,10,0.031645919309281435
2024-12-18,14:44:29,2,11,0.031885087143566304
2024-12-18,14:45:15,2,12,0.03094909239832049
2024-12-18,14:46:02,2,13,0.0305591390680134
2024-12-18,14:46:52,2,14,0.030397013194129532
2024-12-18,14:47:42,2,15,0.029702864651501792
2024-12-18,14:48:33,2,16,0.029240459204402713
2024-12-18,14:49:25,2,17,0.029799000847633702
2024-12-18,14:50:13,2,18,0.028862190732687816
2024-12-18,14:50:58,2,19,0.02874646416429322
2024-12-18,14:51:43,2,20,0.02878445178519383
2024-12-18,14:53:14,3,1,0.06720010147263833
2024-12-18,14:54:13,3,2,0.040006802817594056
2024-12-18,14:55:10,3,3,0.035526393174316495
2024-12-18,14:56:04,3,4,0.03371283234330377
2024-12-18,14:57:03,3,5,0.031121915557370542
2024-12-18,14:57:58,3,6,0.03093767835139355
2024-12-18,14:58:57,3,7,0.029415392175029878
2024-12-18,14:59:55,3,8,0.02862907577476549
2024-12-18,15:00:56,3,9,0.028263225030135633
2024-12-18,15:01:55,3,10,0.027152477960001784
2024-12-18,15:02:52,3,11,0.027045621938667264
2024-12-18,15:03:46,3,12,0.02659832980431601
2024-12-18,15:04:46,3,13,0.026154496560053885
2024-12-18,15:05:48,3,14,0.02587382046641546
2024-12-18,15:06:46,3,15,0.025995650521698853
2024-12-18,15:07:41,3,16,0.02561965656232019
2024-12-18,15:08:38,3,17,0.02466282397759808
2024-12-18,15:09:33,3,18,0.02477367955527589
2024-12-18,15:10:27,3,19,0.024166165639504335
2024-12-18,15:11:26,3,20,0.024245670111753295
2024-12-18,15:12:25,4,1,0.07034184774735386
2024-12-18,15:13:16,4,2,0.044758898768865664
2024-12-18,15:14:06,4,3,0.040427871856972074
2024-12-18,15:14:55,4,4,0.037474501193557816
2024-12-18,15:15:42,4,5,0.0355832987016659
2024-12-18,15:16:35,4,6,0.034809746438142025
2024-12-18,15:17:27,4,7,0.03352098294090723
2024-12-18,15:18:20,4,8,0.03234126462030346
2024-12-18,15:19:11,4,9,0.031970542061502405
2024-12-18,15:20:05,4,10,0.031032816982844234
2024-12-18,15:20:55,4,11,0.031091320412846932
2024-12-18,15:21:42,4,12,0.02991995153265018
2024-12-18,15:22:35,4,13,0.03027308676178439
2024-12-18,15:23:26,4,14,0.028933107369290983
2024-12-18,15:24:18,4,15,0.029100615828111593
2024-12-18,15:25:10,4,16,0.028614095439483834
2024-12-18,15:26:02,4,17,0.028668273043955434
2024-12-18,15:26:52,4,18,0.027991685375436552
2024-12-18,15:27:39,4,19,0.028098709208274498
2024-12-18,15:28:29,4,20,0.02758229380069943
2024-12-18,15:29:50,5,1,0.07308903877629869
2024-12-18,15:30:45,5,2,0.040919892681816165
2024-12-18,15:31:40,5,3,0.03623522014464328
2024-12-18,15:32:32,5,4,0.033416122009783646
2024-12-18,15:33:20,5,5,0.0319813577083347
2024-12-18,15:34:11,5,6,0.030445278864748487
2024-12-18,15:35:06,5,7,0.029553251218211486
2024-12-18,15:36:01,5,8,0.028531450498027522
2024-12-18,15:36:53,5,9,0.027403497116588505
2024-12-18,15:37:45,5,10,0.027049640221553706
2024-12-18,15:38:35,5,11,0.02680498347465396
2024-12-18,15:39:22,5,12,0.026666199496143808
2024-12-18,15:40:15,5,13,0.02604260159583976
2024-12-18,15:41:10,5,14,0.025570147641341832
2024-12-18,15:42:03,5,15,0.025342815123882777
2024-12-18,15:42:57,5,16,0.024686877179735337
2024-12-18,15:43:52,5,17,0.024198456848175034
