Date,Time,Fold,Epoch,Training Loss
2025-01-01,23:32:29,1,1,0.09658205909554378
2025-01-01,23:35:02,1,2,0.07320018224799234
2025-01-01,23:37:29,1,3,0.06918359163974074
2025-01-01,23:40:09,1,4,0.06683452028835458
2025-01-01,23:42:42,1,5,0.0651152179731677
2025-01-01,23:45:21,1,6,0.06371990385918522
2025-01-01,23:47:54,1,7,0.06319895074799174
2025-01-01,23:50:33,1,8,0.06249719192366543
2025-01-01,23:53:09,1,9,0.06207462997224519
2025-01-01,23:55:42,1,10,0.06107052646684494
2025-01-01,23:58:44,2,1,0.10255460915137161
2025-01-02,00:01:12,2,2,0.0755049208104995
2025-01-02,00:03:55,2,3,0.07130999494435573
2025-01-02,00:06:27,2,4,0.06852353430817266
2025-01-02,00:09:07,2,5,0.06678199723915866
2025-01-02,00:11:41,2,6,0.06582258760835416
2025-01-02,00:14:15,2,7,0.06468970877572751
2025-01-02,00:16:53,2,8,0.06403776755236182
2025-01-02,00:19:20,2,9,0.06310421379704409
2025-01-02,00:21:59,2,10,0.062299847830424346
2025-01-02,00:24:44,3,1,0.10176064677403393
2025-01-02,00:27:24,3,2,0.07422607733797155
2025-01-02,00:29:56,3,3,0.06970087015113614
2025-01-02,00:32:31,3,4,0.06680584594547821
2025-01-02,00:35:09,3,5,0.06540050190629391
2025-01-02,00:37:42,3,6,0.06377690434733095
2025-01-02,00:40:23,3,7,0.06294108299332585
2025-01-02,00:42:51,3,8,0.06245266067494596
2025-01-02,00:45:32,3,9,0.06144654084750897
2025-01-02,00:48:05,3,10,0.06131152354272699
2025-01-02,00:50:57,4,1,0.10169997672859869
2025-01-02,00:53:31,4,2,0.07310795145121397
2025-01-02,00:56:04,4,3,0.06874511845437134
2025-01-02,00:58:42,4,4,0.06621671989971124
2025-01-02,01:01:11,4,5,0.06457208629683556
2025-01-02,01:03:54,4,6,0.0629465966878591
2025-01-02,01:06:24,4,7,0.06228246220034924
2025-01-02,01:09:04,4,8,0.06142529333516839
